datetime,o,h,l,c,time,date
2018/3/19 11:00,11049.32,11051.44,11045.91,11049.13,11:00:00,2018/3/19
2018/3/19 11:30,11031.08,11034.29,11028.73,11030.9,11:30:00,2018/3/19
2018/3/19 12:00,11037.34,11037.37,11032.44,11033.68,12:00:00,2018/3/19
2018/3/19 12:30,11026.19,11030.56,11020.35,11026.28,12:30:00,2018/3/19
2018/3/19 13:00,11025.14,11030.04,11024.89,11030.04,13:00:00,2018/3/19
2018/3/19 13:30,11046.9,11046.9,11046.9,11046.9,13:30:00,2018/3/19
2018/3/20 09:00,11016.85,11016.85,10988.29,10993.77,09:00:00,2018/3/20
2018/3/20 09:30,10988.04,10989.02,10985.68,10988.24,09:30:00,2018/3/20
2018/3/20 10:00,11004.49,11010.64,11003.18,11004.4,10:00:00,2018/3/20
2018/3/20 10:30,10995.64,10999.88,10994.76,10995,10:30:00,2018/3/20
2018/3/20 11:00,10999.28,11003.26,10998.48,11000.04,11:00:00,2018/3/20
2018/3/20 11:30,10988.66,10991.67,10985.03,10986.99,11:30:00,2018/3/20
2018/3/20 12:00,10989.24,10994.68,10987.21,10989.8,12:00:00,2018/3/20
2018/3/20 12:30,10993.44,10999.94,10993.09,10996.61,12:30:00,2018/3/20
2018/3/20 13:00,11003.87,11004.87,11001.86,11004.87,13:00:00,2018/3/20
2018/3/20 13:30,11010.84,11010.84,11010.84,11010.84,13:30:00,2018/3/20
2018/3/21 09:00,11037.35,11060.16,11037.35,11056.49,09:00:00,2018/3/21
2018/3/21 09:30,11066.42,11067.28,11064.16,11064.66,09:30:00,2018/3/21
2018/3/21 10:00,11027.4,11034.89,11027.16,11029.6,10:00:00,2018/3/21
2018/3/21 10:30,11034.9,11034.9,11032.56,11033.89,10:30:00,2018/3/21
2018/3/21 11:00,11044.39,11045.41,11040.57,11042.28,11:00:00,2018/3/21
2018/3/21 11:30,11041.62,11045.69,11036.85,11037.53,11:30:00,2018/3/21
2018/3/21 12:00,11037.74,11039.41,11035.18,11036.1,12:00:00,2018/3/21
2018/3/21 12:30,11035.09,11039.94,11032.82,11035.72,12:30:00,2018/3/21
2018/3/21 13:00,11045.13,11050.69,11044.22,11048.81,13:00:00,2018/3/21
2018/3/21 13:30,11011.07,11011.07,11011.07,11011.07,13:30:00,2018/3/21
2018/3/22 09:00,11045.9,11097.36,11045.9,11093.39,09:00:00,2018/3/22
2018/3/22 09:30,11090.34,11096.23,11090.34,11093.1,09:30:00,2018/3/22
2018/3/22 10:00,11078.81,11081.47,11074.99,11074.99,10:00:00,2018/3/22
2018/3/22 10:30,11068.86,11070,11068.09,11068.17,10:30:00,2018/3/22
2018/3/22 11:00,11018.45,11018.45,11011.53,11017.25,11:00:00,2018/3/22
2018/3/22 11:30,11013.24,11016.93,11010.61,11011.1,11:30:00,2018/3/22
2018/3/22 12:00,11031.36,11031.71,11028.67,11029.88,12:00:00,2018/3/22
