,datetime,o,h,l,c,time,date
2330,2018-04-09 11:00:00,10843.28,10895.39,10840.08,10889.28,11:00:00,2018-04-09
2331,2018-04-09 12:00:00,10888.75,10897.73,10877.03,10891.86,12:00:00,2018-04-09
2332,2018-04-09 13:00:00,10892.93,10904.75,10885.58,10893.53,13:00:00,2018-04-09
2352,2018-04-10 09:00:00,10885.64,10921.3,10874.83,10918.06,09:00:00,2018-04-10
2353,2018-04-10 10:00:00,10917.01,10975.67,10907.32,10952.13,10:00:00,2018-04-10
2354,2018-04-10 11:00:00,10951.18,10964.76,10941.57,10946.77,11:00:00,2018-04-10
2355,2018-04-10 12:00:00,10946.26,10963.8,10943.38,10952.46,12:00:00,2018-04-10
2356,2018-04-10 13:00:00,10947.19,10947.19,10923.6,10927.18,13:00:00,2018-04-10
2376,2018-04-11 09:00:00,10961.7,11016.35,10961.7,10992.52,09:00:00,2018-04-11
2377,2018-04-11 10:00:00,10990.95,10992.3,10961.79,10975.01,10:00:00,2018-04-11
2378,2018-04-11 11:00:00,10974.99,10979.81,10961.73,10962.92,11:00:00,2018-04-11
2379,2018-04-11 12:00:00,10963.91,10972.87,10953.31,10961.42,12:00:00,2018-04-11
2380,2018-04-11 13:00:00,10960.89,10980.65,10960.89,10974.02,13:00:00,2018-04-11
2400,2018-04-12 09:00:00,10984.12,11008.2,10957.32,10966.89,09:00:00,2018-04-12
2401,2018-04-12 10:00:00,10967.41,10974.26,10941.34,10945.43,10:00:00,2018-04-12
2402,2018-04-12 11:00:00,10944.89,10950.6,10920.62,10932.23,11:00:00,2018-04-12
2403,2018-04-12 12:00:00,10935.37,10943.67,10921.16,10940.95,12:00:00,2018-04-12
2404,2018-04-12 13:00:00,10940.05,10955.29,10930.31,10955.29,13:00:00,2018-04-12
2424,2018-04-13 09:00:00,10975.58,10988.23,10969.22,10981.77,09:00:00,2018-04-13
2425,2018-04-13 10:00:00,10985.62,10987.0,10952.14,10958.28,10:00:00,2018-04-13
2426,2018-04-13 11:00:00,10960.33,10961.91,10938.37,10949.67,11:00:00,2018-04-13
2427,2018-04-13 12:00:00,10950.19,10978.39,10949.11,10972.06,12:00:00,2018-04-13
